Nov. 22, 2013	66498 
Nov. 23, 2013	92698 
Nov. 24, 2013	84194 
Nov. 25, 2013	47725 
Nov. 26, 2013	51724 
Nov. 27, 2013	4052 
Nov. 28, 2013	2950 
Nov. 29, 2013	7173 
Nov. 30, 2013	6773 
Dec. 1, 2013	4064 
Dec. 2, 2013	669 
Dec. 3, 2013	668 
Dec. 4, 2013	490 
Dec. 5, 2013	499 
Dec. 6, 2013	1797 
Dec. 7, 2013	4025 
Dec. 8, 2013	2627 
Dec. 9, 2013	548 
Dec. 10, 2013	658 
Dec. 11, 2013	460 
Dec. 12, 2013	458 
Dec. 13, 2013	1372 
Dec. 14, 2013	2730 
Dec. 15, 2013	1972 
Dec. 16, 2013	430 
Dec. 17, 2013	547 
Dec. 18, 2013	482 
Dec. 19, 2013	592 
Dec. 20, 2013	1442 
Dec. 21, 2013	2177 
Dec. 22, 2013	1930 
Dec. 23, 2013	2046 
Dec. 24, 2013	1434 
Dec. 25, 2013	1905 
Dec. 26, 2013	2731 
Dec. 27, 2013	3049 
Dec. 28, 2013	3000 
Dec. 29, 2013	2525 
Dec. 30, 2013	2368 
Dec. 31, 2013	2122 
Jan. 1, 2014	2614 
Jan. 2, 2014	1591 
Jan. 3, 2014	2035 
Jan. 4, 2014	2422 
Jan. 5, 2014	1442 
Jan. 6, 2014	521 
Jan. 7, 2014	573 
Jan. 8, 2014	356 
Jan. 9, 2014	328 
Jan. 10, 2014	962 
Jan. 11, 2014	2203 
Jan. 12, 2014	1382 
Jan. 13, 2014	235 
Jan. 14, 2014	301 
Jan. 15, 2014	232 
Jan. 16, 2014	254 
Jan. 17, 2014	844 
Jan. 18, 2014	1773 
Jan. 19, 2014	1334 
Jan. 20, 2014	1442 
Jan. 21, 2014	252 
Jan. 22, 2014	227 
Jan. 23, 2014	220 
Jan. 24, 2014	741 
Jan. 25, 2014	1532 
Jan. 26, 2014	1035 
Jan. 27, 2014	238 
Jan. 28, 2014	327 
Jan. 29, 2014	216 
Jan. 30, 2014	236 
Jan. 31, 2014	815 
Feb. 1, 2014	1659 
Feb. 2, 2014	770 
Feb. 3, 2014	177 
Feb. 4, 2014	192 
Feb. 5, 2014	209 
Feb. 6, 2014	195 
Feb. 7, 2014	565 
Feb. 8, 2014	1352 
Feb. 9, 2014	877 
Feb. 10, 2014	180 
Feb. 11, 2014	164 
Feb. 12, 2014	125 
Feb. 13, 2014	162 
Feb. 14, 2014	813 
Feb. 15, 2014	1152 
Feb. 16, 2014	999 
Feb. 17, 2014	871 
Feb. 18, 2014	260 
Feb. 19, 2014	217 
Feb. 20, 2014	216 
Feb. 21, 2014	541 
Feb. 22, 2014	1074 
Feb. 23, 2014	714 
Feb. 24, 2014	120 
Feb. 25, 2014	143 
Feb. 26, 2014	130 
Feb. 27, 2014	144 
Feb. 28, 2014	411 
Mar. 1, 2014	1025 
Mar. 2, 2014	644 
Mar. 3, 2014	194 
Mar. 4, 2014	222 
Mar. 5, 2014	152 
Mar. 6, 2014	167 
Mar. 7, 2014	381 
Mar. 8, 2014	837 
Mar. 9, 2014	561 
Mar. 10, 2014	167 
Mar. 11, 2014	206 
Mar. 12, 2014	188 
Mar. 13, 2014	189 
Mar. 14, 2014	356 
Mar. 15, 2014	639 
Mar. 16, 2014	469 
Mar. 17, 2014	133 
Mar. 18, 2014	119 
Mar. 19, 2014	95 
Mar. 20, 2014	78 
Mar. 21, 2014	156 
Mar. 22, 2014	311 
Mar. 23, 2014	222 
Mar. 24, 2014	66 
Mar. 25, 2014	83 
Mar. 26, 2014	70 
Mar. 27, 2014	69 
Mar. 28, 2014	204 
Mar. 29, 2014	404 
Mar. 30, 2014	264 
Mar. 31, 2014	91 
Apr. 1, 2014	99 
Apr. 2, 2014	93 
Apr. 3, 2014	98 
Apr. 4, 2014	350 
Apr. 5, 2014	606 
Apr. 6, 2014	289 
Apr. 7, 2014	83 
Apr. 8, 2014	112 
Apr. 9, 2014	91 
Apr. 10, 2014	92 
Apr. 11, 2014	282 
Apr. 12, 2014	542 
Apr. 13, 2014	295 
Apr. 14, 2014	106 
Apr. 15, 2014	140 
Apr. 16, 2014	121 
Apr. 17, 2014	138 
Apr. 18, 2014	332 
Apr. 19, 2014	375 
Apr. 20, 2014	186 
Apr. 21, 2014	101 
Apr. 22, 2014	96 
Apr. 23, 2014	86 
Apr. 24, 2014	87 
Apr. 25, 2014	188 
Apr. 26, 2014	377 
Apr. 27, 2014	271 
Apr. 28, 2014	54 
Apr. 29, 2014	63 
Apr. 30, 2014	57 
